Weight_kg,BMI,Protein_Intake,Dietary_Habits,Recommended_Meal_Plan
66,24.84,105,Vegetarian,High-Protein Diet
114,38.99,69,Vegetarian,Balanced Diet
119,40.22,183,Vegetarian,High-Protein Diet
118,30.41,135,Vegetarian,High-Protein Diet
109,44.79,167,Regular,High-Protein Diet
99,27.71,75,Regular,Low-Fat Diet
61,15.4,178,Keto,Low-Carb Diet
96,31.71,75,Regular,Balanced Diet
116,44.2,113,Keto,Low-Fat Diet
114,39.45,166,Vegan,Low-Carb Diet
76,21.05,170,Regular,High-Protein Diet
97,38.37,55,Regular,Balanced Diet
111,44.46,159,Regular,Low-Carb Diet
93,34.58,111,Keto,Low-Fat Diet
68,29.82,115,Keto,Balanced Diet
108,35.67,76,Vegetarian,Low-Fat Diet
57,21.72,114,Regular,High-Protein Diet
104,31.05,79,Vegan,Balanced Diet
96,28.67,131,Regular,Low-Fat Diet
51,15.06,147,Regular,High-Protein Diet
88,25.17,114,Regular,Balanced Diet
94,40.69,156,Regular,High-Protein Diet
81,22.2,166,Regular,Low-Fat Diet
114,47.45,63,Regular,Low-Fat Diet
87,22.42,54,Keto,High-Protein Diet
60,15.3,168,Vegetarian,Balanced Diet
59,20.9,85,Vegan,Low-Fat Diet
108,46.75,175,Regular,Low-Carb Diet
104,37.29,145,Regular,High-Protein Diet
69,19.52,58,Regular,Low-Fat Diet
66,26.44,158,Regular,Low-Fat Diet
117,45.14,124,Regular,High-Protein Diet
54,22.77,95,Regular,High-Protein Diet
109,47.18,174,Vegetarian,Low-Carb Diet
72,28.12,154,Regular,High-Protein Diet
95,29.65,174,Regular,Low-Carb Diet
101,43.15,62,Regular,High-Protein Diet
59,24.88,110,Regular,Balanced Diet
95,42.22,79,Vegan,Balanced Diet
77,24.86,147,Vegetarian,High-Protein Diet
92,29.37,81,Vegetarian,Low-Fat Diet
75,23.67,131,Keto,Low-Fat Diet
104,37.29,105,Keto,High-Protein Diet
97,37.42,152,Regular,Balanced Diet
78,29.72,104,Regular,Low-Carb Diet
76,21.05,147,Vegetarian,Low-Fat Diet
67,29.38,185,Vegetarian,Low-Carb Diet
109,31.51,81,Vegetarian,High-Protein Diet
118,31.35,153,Vegetarian,Low-Carb Diet
70,25.71,127,Regular,Low-Carb Diet
73,18.81,118,Vegan,High-Protein Diet
52,17.37,168,Vegetarian,High-Protein Diet
111,32.79,56,Regular,Low-Carb Diet
51,17.44,69,Regular,Balanced Diet
115,33.6,111,Vegetarian,Low-Carb Diet
91,35.55,198,Regular,Low-Fat Diet
83,21.83,141,Regular,Balanced Diet
91,28.72,87,Regular,Low-Carb Diet
69,20.38,154,Vegan,Low-Fat Diet
117,30.15,180,Vegetarian,Balanced Diet
94,34.95,66,Regular,Low-Fat Diet
91,28.09,59,Regular,High-Protein Diet
96,26.32,86,Regular,Low-Carb Diet
54,14.96,176,Regular,High-Protein Diet
98,26.58,77,Keto,Balanced Diet
86,31.59,169,Keto,Low-Fat Diet
83,32.83,159,Regular,Low-Fat Diet
119,30.35,107,Vegan,High-Protein Diet
67,20.45,176,Keto,High-Protein Diet
68,29.82,159,Keto,Balanced Diet
89,29.74,187,Regular,Balanced Diet
66,22.31,185,Regular,Low-Carb Diet
109,47.8,65,Vegan,Balanced Diet
91,26.02,111,Vegetarian,Balanced Diet
114,35.19,158,Keto,Balanced Diet
102,28.55,138,Regular,Balanced Diet
56,18.29,150,Regular,High-Protein Diet
54,17.04,192,Vegan,High-Protein Diet
73,31.6,65,Vegan,Low-Fat Diet
77,28.98,76,Regular,Balanced Diet
111,36.66,96,Keto,High-Protein Diet
66,17.01,154,Keto,Low-Carb Diet
69,30.67,188,Regular,Low-Fat Diet
52,22.51,140,Keto,High-Protein Diet
86,28.08,58,Vegan,Balanced Diet
64,22.95,60,Keto,Balanced Diet
100,40.06,56,Vegetarian,Low-Fat Diet
97,27.74,77,Vegan,High-Protein Diet
57,19.27,111,Keto,Low-Fat Diet
62,21.45,164,Regular,Low-Carb Diet
97,43.11,122,Regular,Low-Fat Diet
52,17.99,148,Keto,Low-Fat Diet
114,36.8,100,Regular,Low-Carb Diet
80,21.93,97,Regular,Balanced Diet
75,31.22,117,Regular,Low-Carb Diet
105,28.19,59,Vegan,Balanced Diet
83,24.25,171,Vegan,Balanced Diet
58,18.51,75,Regular,Low-Carb Diet
111,29.49,176,Regular,Balanced Diet
62,22.5,194,Regular,High-Protein Diet
118,33.03,162,Vegetarian,High-Protein Diet
90,38.95,71,Keto,Low-Fat Diet
50,19.29,157,Regular,High-Protein Diet
96,27.16,85,Regular,Low-Fat Diet
53,20.45,82,Vegetarian,High-Protein Diet
112,49.12,144,Keto,High-Protein Diet
101,26.56,188,Keto,High-Protein Diet
59,20.18,142,Regular,High-Protein Diet
77,26.03,150,Keto,Balanced Diet
55,17.17,172,Regular,Low-Fat Diet
76,32.05,107,Regular,Low-Fat Diet
61,24.44,64,Keto,Balanced Diet
111,38.41,106,Regular,High-Protein Diet
101,39.45,177,Regular,Low-Carb Diet
97,40.9,128,Regular,Low-Carb Diet
116,34.26,120,Regular,Low-Carb Diet
95,30.67,107,Vegetarian,Low-Fat Diet
64,16.32,78,Regular,Balanced Diet
85,37.28,95,Regular,Low-Carb Diet
63,21.05,103,Vegetarian,High-Protein Diet
52,16.05,147,Vegetarian,Low-Fat Diet
116,35.02,134,Vegetarian,Low-Carb Diet
68,19.24,56,Vegetarian,Low-Fat Diet
103,32.15,78,Vegetarian,Balanced Diet
118,31.03,186,Regular,Low-Carb Diet
59,17.05,98,Vegan,Low-Carb Diet
82,26.17,120,Vegan,High-Protein Diet
62,19.14,127,Regular,Low-Fat Diet
100,39.06,143,Regular,Low-Carb Diet
81,27.38,137,Regular,High-Protein Diet
73,32.02,185,Keto,Balanced Diet
84,23.52,104,Vegetarian,Low-Carb Diet
119,32.96,173,Regular,Balanced Diet
89,28.73,133,Regular,Balanced Diet
103,30.42,144,Keto,Balanced Diet
93,40.79,64,Regular,High-Protein Diet
111,31.41,83,Keto,Low-Carb Diet
117,33.82,118,Vegan,Balanced Diet
82,28.37,61,Regular,Balanced Diet
105,44.27,103,Regular,Low-Carb Diet
85,22.58,199,Vegetarian,Balanced Diet
103,35.64,121,Regular,High-Protein Diet
68,21.46,109,Regular,Low-Fat Diet
92,32.21,77,Keto,Low-Fat Diet
61,17.44,198,Vegetarian,Balanced Diet
60,21.01,124,Regular,Low-Carb Diet
119,30.05,126,Regular,Low-Carb Diet
61,20.15,92,Regular,Low-Carb Diet
90,39.47,72,Regular,Low-Fat Diet
74,22.59,146,Vegan,Balanced Diet
52,16.98,166,Keto,Low-Carb Diet
52,21.64,139,Keto,Balanced Diet
77,21.33,146,Regular,High-Protein Diet
72,31.16,166,Regular,Low-Fat Diet
97,29.28,87,Regular,Balanced Diet
116,51.56,65,Regular,High-Protein Diet
91,38.37,123,Keto,Low-Fat Diet
89,33.91,161,Regular,Low-Carb Diet
55,19.49,90,Regular,High-Protein Diet
69,26.62,93,Vegan,Low-Fat Diet
60,15.46,66,Vegan,Balanced Diet
76,25.1,101,Regular,Low-Fat Diet
70,20.68,92,Regular,Low-Fat Diet
62,23.92,72,Regular,High-Protein Diet
84,26.22,50,Keto,High-Protein Diet
96,40.48,142,Regular,Low-Carb Diet
77,22.99,74,Keto,High-Protein Diet
70,23.94,55,Regular,Balanced Diet
67,18.96,103,Regular,High-Protein Diet
80,30.48,127,Keto,Balanced Diet
109,28.37,68,Regular,Balanced Diet
86,37.22,152,Vegetarian,Low-Fat Diet
70,24.51,87,Keto,High-Protein Diet
63,19.44,196,Vegetarian,Balanced Diet
109,45.96,156,Regular,Low-Fat Diet
72,24.06,178,Regular,Low-Fat Diet
78,21.84,170,Regular,Balanced Diet
96,28.98,147,Regular,High-Protein Diet
79,32.05,107,Keto,Low-Carb Diet
87,29.07,130,Regular,Balanced Diet
